DATE;ARTICLES_DAY;COVID_DAY
26.2.2020;222;2
27.2.2020;211;1
28.2.2020;192;0
29.2.2020;150;2
1.3.2020;184;2
2.3.2020;214;1
3.3.2020;238;1
4.3.2020;226;0
5.3.2020;197;1
6.3.2020;153;0
7.3.2020;138;1
8.3.2020;221;1
9.3.2020;309;0
10.3.2020;374;1
11.3.2020;472;3
12.3.2020;504;3
13.3.2020;395;13
14.3.2020;342;5
15.3.2020;477;12
16.3.2020;522;8
17.3.2020;575;12
18.3.2020;590;20
19.3.2020;651;16
20.3.2020;481;23
21.3.2020;371;78
22.3.2020;394;48
23.3.2020;557;67
24.3.2020;593;61
25.3.2020;626;60
26.3.2020;606;91
27.3.2020;471;53
28.3.2020;350;71
29.3.2020;434;77
30.3.2020;596;56
31.3.2020;592;77
1.4.2020;633;96
2.4.2020;579;48
3.4.2020;457;68
4.4.2020;375;47
5.4.2020;421;56
6.4.2020;569;40
7.4.2020;608;60
8.4.2020;580;61
9.4.2020;570;64
10.4.2020;422;88
11.4.2020;286;39
12.4.2020;323;66
13.4.2020;462;50
14.4.2020;550;54
15.4.2020;518;37
16.4.2020;503;50
17.4.2020;400;23
18.4.2020;319;18
19.4.2020;396;39
20.4.2020;519;10
21.4.2020;537;27
22.4.2020;460;42
23.4.2020;491;31
24.4.2020;419;28
25.4.2020;309;7
26.4.2020;386;14
27.4.2020;498;9
28.4.2020;481;8
29.4.2020;524;15
30.4.2020;453;14
1.5.2020;306;9
2.5.2020;269;3
3.5.2020;316;8
4.5.2020;450;5
5.5.2020;464;11
6.5.2020;420;7
7.5.2020;432;6
8.5.2020;351;36
9.5.2020;285;15
10.5.2020;323;11
11.5.2020;388;9
12.5.2020;407;11
13.5.2020;415;6
14.5.2020;394;8
15.5.2020;330;1
16.5.2020;230;2
17.5.2020;308;2
18.5.2020;362;2
19.5.2020;325;4
20.5.2020;337;2
21.5.2020;361;3
22.5.2020;256;6
23.5.2020;238;0
24.5.2020;284;1
25.5.2020;373;0
26.5.2020;318;0
27.5.2020;345;0
28.5.2020;305;1
29.5.2020;251;0
30.5.2020;199;1
31.5.2020;220;0
1.6.2020;317;0
2.6.2020;305;0
3.6.2020;301;0
4.6.2020;288;1
5.6.2020;249;0
6.6.2020;211;0
7.6.2020;262;0
8.6.2020;347;0
9.6.2020;326;0
10.6.2020;266;2
11.6.2020;246;0
12.6.2020;248;0
13.6.2020;172;2
14.6.2020;247;1
15.6.2020;311;2
16.6.2020;323;1
17.6.2020;309;3
18.6.2020;344;11
19.6.2020;267;11
20.6.2020;227;19
21.6.2020;276;18
22.6.2020;377;19
23.6.2020;416;30
24.6.2020;411;22
25.6.2020;413;95
26.6.2020;321;56
27.6.2020;204;85
28.6.2020;270;67
29.6.2020;335;34
30.6.2020;336;52
1.7.2020;390;54
2.7.2020;354;81
3.7.2020;288;96
4.7.2020;202;86
5.7.2020;264;57
6.7.2020;246;69
7.7.2020;274;52
8.7.2020;303;53
9.7.2020;278;91
10.7.2020;272;116
11.7.2020;179;140
12.7.2020;232;50
