WEEK;ARTICLES_WIN;COVID_WIN
1;1411;9
2;1618;4
3;3287;56
4;3637;313
5;3675;485
6;3642;415
7;3193;422
8;3192;204
9;3044;139
10;2782;65
11;2606;95
12;2364;25
13;2167;12
14;1942;2
15;1984;1
16;1813;8
17;2216;111
18;2290;411
19;2018;495
20;1835;555
21;1842;595
22;1662;500
23;1459;396
24;1452;422
25;1759;1115
26;1876;1675
27;1823;1884
28;1893;1871
29;1833;1464
30;1570;1387
31;1650;1244
32;3419;1704
33;3222;2909
34;3213;5870
35;3289;11758
36;3036;15466
37;2792;16156
38;2536;17221
39;2821;20550
40;3102;23328
41;3432;23510
42;3137;24866
43;3212;17605
44;2379;9273
45;2168;7794
46;2384;6592
47;1013;2830
