date;portal1;portal2;portal3;portal4;portal5;portal6;portal7;portal8
26.2.2020;12;59;31;19;16;20;21;44
27.2.2020;14;49;34;19;19;12;20;44
28.2.2020;17;44;30;18;22;14;22;25
29.2.2020;10;43;24;10;6;10;20;27
1.3.2020;11;58;22;9;10;10;27;37
2.3.2020;14;60;27;13;16;14;18;52
3.3.2020;17;59;38;17;23;19;17;48
4.3.2020;13;49;32;15;14;12;31;60
5.3.2020;13;47;29;21;14;8;28;37
6.3.2020;11;25;24;13;17;13;17;33
7.3.2020;14;32;26;5;4;10;15;32
8.3.2020;13;85;25;12;8;6;30;42
9.3.2020;17;97;26;20;22;27;45;55
10.3.2020;14;117;36;31;29;25;40;82
11.3.2020;23;146;54;39;24;41;45;100
12.3.2020;24;134;62;58;40;54;48;84
13.3.2020;17;82;53;40;54;57;35;57
14.3.2020;25;62;46;29;45;40;43;52
15.3.2020;16;142;49;41;41;30;68;90
16.3.2020;34;105;66;64;42;66;55;90
17.3.2020;34;139;63;71;35;77;54;102
18.3.2020;28;116;76;76;42;74;64;114
19.3.2020;35;153;76;73;51;89;69;105
20.3.2020;32;89;69;68;48;82;29;64
21.3.2020;24;101;31;46;39;44;27;59
22.3.2020;14;114;20;38;26;29;52;101
23.3.2020;23;145;68;50;40;66;53;112
24.3.2020;34;109;86;61;39;67;74;123
25.3.2020;39;125;85;62;54;77;59;125
26.3.2020;42;124;80;63;59;78;53;107
27.3.2020;32;87;59;52;66;82;32;61
28.3.2020;24;87;31;38;45;43;29;53
29.3.2020;23;106;25;39;33;38;60;110
30.3.2020;37;130;70;59;46;65;70;119
31.3.2020;40;126;67;60;52;65;73;109
1.4.2020;34;144;100;58;44;74;59;120
2.4.2020;38;119;83;57;51;72;62;97
3.4.2020;44;80;63;51;40;69;45;65
4.4.2020;34;73;57;26;33;49;47;56
5.4.2020;31;89;43;33;41;43;50;91
6.4.2020;40;85;66;59;66;54;84;115
7.4.2020;41;139;86;63;49;57;69;104
8.4.2020;31;102;103;57;63;69;61;94
9.4.2020;44;114;65;65;52;64;65;101
10.4.2020;39;70;67;54;54;53;27;58
11.4.2020;33;56;34;32;36;27;25;43
12.4.2020;32;70;24;31;35;30;36;65
13.4.2020;22;134;43;32;48;34;49;100
14.4.2020;35;119;72;62;40;61;49;112
15.4.2020;36;104;74;55;46;57;54;92
16.4.2020;47;93;64;51;47;59;44;98
17.4.2020;29;63;62;56;48;58;31;53
18.4.2020;21;69;43;36;42;21;29;58
19.4.2020;24;97;48;40;34;24;42;87
20.4.2020;47;102;69;58;43;60;50;90
21.4.2020;47;111;76;54;44;61;61;83
22.4.2020;42;83;61;40;52;52;53;77
23.4.2020;48;91;85;39;43;53;53;79
24.4.2020;45;78;61;47;53;47;28;60
25.4.2020;37;58;28;37;38;29;32;50
26.4.2020;27;113;23;27;21;34;43;98
27.4.2020;42;102;79;47;45;60;32;91
28.4.2020;37;114;66;44;43;46;42;89
29.4.2020;51;108;78;50;48;48;45;96
30.4.2020;55;79;74;50;52;61;26;56
1.5.2020;35;64;33;30;23;34;34;53
2.5.2020;25;61;35;21;17;30;29;51
3.5.2020;21;99;17;22;27;29;29;72
4.5.2020;49;99;51;42;43;43;47;76
5.5.2020;36;89;58;43;44;53;46;95
6.5.2020;42;84;53;42;41;42;44;72
7.5.2020;38;97;54;46;36;53;39;69
8.5.2020;42;58;55;38;31;42;28;57
9.5.2020;18;75;41;25;26;26;29;45
10.5.2020;26;85;35;27;23;28;29;70
11.5.2020;33;97;41;35;23;45;49;65
12.5.2020;39;87;54;46;36;35;39;71
13.5.2020;36;85;67;40;34;46;34;73
14.5.2020;31;113;41;39;40;40;29;61
15.5.2020;33;55;52;37;32;44;24;53
16.5.2020;24;50;25;24;18;25;18;46
17.5.2020;22;87;21;25;24;26;38;65
18.5.2020;21;73;36;31;34;42;43;82
19.5.2020;23;67;43;36;24;41;31;60
20.5.2020;25;74;49;34;29;35;32;59
21.5.2020;24;78;50;30;29;44;42;64
22.5.2020;20;45;41;28;30;37;23;32
23.5.2020;20;51;19;27;33;31;21;36
24.5.2020;30;70;24;21;20;30;30;59
25.5.2020;51;66;39;36;30;39;45;67
26.5.2020;44;57;43;28;22;40;27;57
27.5.2020;36;67;44;26;26;45;32;69
